央视频道,#genre#
CHC影迷电影,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=chchd
CHC家庭影院,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=chcjt
央视综合,#genre#
CCTV-怀旧剧场,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hjjc
CCTV-第一剧场,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=dyjc
CCTV-风云剧场,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=fyjc
CCTV-风云音乐,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=fyyy
CCTV-风云足球,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=fyzq
CCTV-兵器科技,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gfjs
CCTV-世界地理,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=sjdl
CCTV-女性时尚,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=nxss
CCTV-央视台球,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ystq
CCTV-电视指南,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=dszn
CCTV-高尔夫网球,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gefwq
CCTV-央视文化精品,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ysjp
CCTV-卫生健康,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=wsjk
CCTV-中视购物,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=zsgw
CCTV-戏曲,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctvxq
CCTV-娱乐,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctvyl
中国电影,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=zgdy

卫视频道,#genre#
湖南卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hnwshd
江苏卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=jswshd
浙江卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=zjwshd
东方卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=dfwshd
广东卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gdwshd
深圳卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=szwshd
北京卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=bjwshd
天津卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=tjwshd
山东卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=sdwshd
湖北卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hbwshd
黑龙江卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hljwshd
河北卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hewshd
安徽卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ahwshd
辽宁卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=lnwshd
东南卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=dnwshd
江西卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=jxwshd
重庆卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cqwshd
四川卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=scwshd
广西卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gxwshd
云南卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynwshd
河南卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hawshd
陕西卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=snwshd
贵州卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gzwshd
吉林卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=jlwshd
海南卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=lywshd
甘肃卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gswshd
山西卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=sxwshd
湖南卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hnws
江苏卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=jsws
浙江卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=zjws
东方卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=dfws
广东卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gdws
深圳卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=szws
北京卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=bjws
天津卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=tjws
山东卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=sdws
湖北卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hbws
河北卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hews
贵州卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gzws
黑龙江卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hljws
大湾区卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=nfws
山西卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=sxws
辽宁卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=lnws
安徽卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ahws
东南卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=dnws
青海卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=qhws
云南卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynws
江西卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=jxws
河南卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=haws
陕西卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=snws
吉林卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=jlws
广西卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gxws
西藏卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=xzws
内蒙古卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=nmgws
四川卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=scws
宁夏卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=nxws
甘肃卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=gsws
重庆卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cqws
新疆卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=xjws
海南卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=lyws
兵团卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=btws
厦门卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=xmws
海峡卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=hxws
三沙卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ssws
延边卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ybws
康巴卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=kbws
内蒙古蒙语,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=nmmy
安多卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=qhzy
农林卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=snnl
西藏藏语,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=xzzy

云南频道,#genre#
云南卫视HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynwshd
云南卫视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynws
云南都市,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yntv2
云南娱乐,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yntv3
云南生活资讯,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yntv4
云南影视,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yntv5
云南康旅,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yntv6
云南澜湄国际,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yngj
美丽云南,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynmlyn
昆明新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynkmtv1
昆明经济生活,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynkmtv2
昆明春城民生,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynkmtv6
昆明教育,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynkmjy
丽江新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynljtv1
丽江文化旅游,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynljtv2
玉溪综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxtv1
玉溪社会与法,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxtv2
昭通一套,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynzttv1
昭通三套,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynzttv3
楚雄新闻,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yncxtv1
德宏新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yndhtv1
红河州新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynhhtv1
文山州新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynwstv1
普洱新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynpetv1
迪庆综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yndqtv1
迪庆藏语,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yndqtv2
临沧综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynlctv1
临沧公共,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynlctv2
保山一套,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynbstv1
大理州新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yndltv1
西双版纳新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynxsbn1
西双版纳文化旅游,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynxsbn2
怒江新闻综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynnjtv1
曲靖一套,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynqjtv1
曲靖二套,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynqjtv2
曲靖三套,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynqjtv3
芒市综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yndhms1
瑞丽综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=yndhrl1
澄江综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxcj1
华宁综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxhn1
江川综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxjc1
通海电视台,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxth1
新平综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxxp1
元江综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxyj1
易门综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynyxym1
鲁甸综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynztld1
巧家综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynztqj1
绥江综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynztsj1
彝良综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=ynztyl1
